No,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
333,ALCO,Alico Inc,Consumer Defensive,Farm Products,USA,322.80M,-,42.16,2.31%,"38,284"
334,ALCY,Alchemy Investments Acquisition Corp 1,Financial,Shell Companies,USA,49.99M,-,11.88,0.17%,754
335,ALDF,Aldel Financial II Inc,Financial,Shell Companies,USA,315.71M,40.31,10.56,0.00%,0
336,ALDX,Aldeyra Therapeutics Inc,Healthcare,Biotechnology,USA,99.90M,-,1.66,-1.19%,"1,805,456"
337,ALEC,Alector Inc,Healthcare,Biotechnology,USA,265.97M,-,2.41,-4.74%,"1,316,688"
338,ALF,Centurion Acquisition Corp,Financial,Shell Companies,USA,388.15M,33.06,10.80,0.37%,"3,215"
339,ALG,Alamo Group Inc,Industrials,Farm & Heavy Construction Machinery,USA,2.04B,19.57,168.20,-1.06%,"136,790"
340,ALGM,Allegro Microsystems Inc,Technology,Semiconductors,USA,6.04B,-,32.60,-2.10%,"1,312,879"
341,ALGN,"Align Technology, Inc",Healthcare,Medical Instruments & Supplies,USA,12.16B,30.15,170.60,-1.23%,"1,081,303"
342,ALGS,Aligos Therapeutics Inc,Healthcare,Biotechnology,USA,49.32M,-,7.97,2.97%,"39,566"
343,ALGT,Allegiant Travel,Industrials,Airlines,USA,1.53B,-,82.83,-0.34%,"433,280"
344,ALH,Alliance Laundry Holdings Inc,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,4.23B,-,21.36,-0.47%,"1,249,935"
345,ALHC,Alignment Healthcare Inc,Healthcare,Healthcare Plans,USA,3.83B,-,18.76,5.10%,"2,728,173"
346,ALIL,Argent Focused Small Cap ETF,Financial,Exchange Traded Fund,USA,-,-,28.07,0.05%,383
347,ALIS,Calisa Acquisition Corp,Financial,Shell Companies,USA,84.36M,-,10.03,0.10%,13
348,ALIT,Alight Inc,Technology,Software - Application,USA,294.40M,-,0.55,-4.64%,"18,714,166"
349,ALK,Alaska Air Group Inc,Industrials,Airlines,USA,4.28B,42.64,37.33,-0.85%,"4,077,491"
350,ALKS,Alkermes plc,Healthcare,Drug Manufacturers - Specialty & Generic,Ireland,5.81B,24.32,34.84,-0.60%,"2,485,560"
351,ALKT,Alkami Technology Inc,Technology,Software - Application,USA,1.76B,-,16.56,3.44%,"1,237,420"
352,ALL,Allstate Corp,Financial,Insurance - Property & Casualty,USA,53.73B,5.42,207.03,1.44%,"1,382,881"
353,ALLE,Allegion plc,Industrials,Security & Protection Services,Ireland,12.15B,18.96,141.06,-2.15%,"816,621"
354,ALLO,Allogene Therapeutics Inc,Healthcare,Biotechnology,USA,604.57M,-,2.48,-3.12%,"4,299,094"
355,ALLR,Allarity Therapeutics Inc,Healthcare,Biotechnology,USA,18.35M,-,1.16,2.65%,"55,115"
356,ALLT,Allot Ltd,Technology,Software - Infrastructure,Israel,344.50M,97.40,7.11,2.75%,"338,031"
357,ALLW,State Street Bridgewater All Weather ETF,Financial,Exchange Traded Fund,USA,-,-,29.10,0.45%,"421,475"
358,ALLY,Ally Financial Inc,Financial,Credit Services,USA,12.27B,16.92,39.84,0.18%,"2,310,746"
