No,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Change_Pct,PE_Ratio,Market_Cap_USD,Vol_Intensity,Cluster
293,AIRI,Air Industries Group,Industrials,Aerospace & Defense,USA,15.44M,-,3.23,-0.31%,50250,-0.31,19.07,15440000.0,0.00325453346797063,0
294,AIRJ,AirJoule Technologies Corp,Industrials,Building Products & Equipment,USA,183.44M,-,2.68,3.47%,424446,3.47,19.07,183440000.0,0.0023138137684593665,0
295,AIRO,AIRO Group Holdings Inc,Industrials,Aerospace & Defense,USA,273.80M,-,8.71,5.96%,637330,5.96,19.07,273800000.0,0.0023277209557059134,0
296,AIRR,First Trust RBA American Industrial Renaissance ETF,Financial,Exchange Traded Fund,USA,-,-,112.87,-0.26%,517569,-0.26,19.07,,,0
297,AIRS,Airsculpt Technologies Inc,Healthcare,Medical Care Facilities,USA,223.63M,-,3.17,16.12%,3424707,16.12,19.07,223630000.0,0.015314166188283476,0
298,AIRT,Air T Inc,Industrials,Conglomerates,USA,58.65M,-,21.7,1.69%,1735,1.69,19.07,58650000.0,2.9582267185298086e-05,0
299,AIS,VistaShares Artificial Intelligence Supercycle ETF,Financial,Exchange Traded Fund,USA,-,-,43.33,0.12%,81978,0.12,19.07,,,0
300,AISP,Airship AI Holdings Inc,Technology,Software - Infrastructure,USA,77.34M,3.11,2.25,-0.88%,400855,-0.88,3.11,77340000.0,0.0051830229482412345,0
301,AIT,Applied Industrial Technologies Inc,Industrials,Industrial Distribution,USA,9.96B,25.42,267.12,-0.83%,139688,-0.83,25.42,9960000000.0,1.4024899596985453e-05,0
302,AIUP,FINQ FIRST U.S. Large Cap AI-Managed Equity ETF,Financial,Exchange Traded Fund,USA,-,-,23.88,0.38%,207,0.38,19.07,,,0
303,AIV,Apartment Investment & Management Co,Real Estate,REIT - Residential,USA,582.67M,-,4.05,0.75%,1396499,0.75,19.07,582670000.0,0.0023967236988402976,0
304,AIVC,Amplify Bloomberg AI Value Chain ETF,Financial,Exchange Traded Fund,USA,-,-,71.25,0.58%,1948,0.58,19.07,,,0
305,AIVI,WisdomTree International AI Enhanced Value Fund,Financial,Exchange Traded Fund,USA,-,-,54.57,-0.42%,1607,-0.42,19.07,,,0
306,AIVL,WisdomTree U.S. AI Enhanced Value Fund,Financial,Exchange Traded Fund,USA,-,-,117.4,0.51%,467,0.51,19.07,,,0
307,AIXC,AIxCrypto Holdings Inc,Technology,Software - Infrastructure,USA,25.90M,-,1.28,3.23%,21617,3.23,19.07,25900000.0,0.0008346331724079857,0
308,AIXI,Xiao-I Corp ADR,Technology,Software - Application,China,1.76M,-,0.13,33.10%,218493016,33.1,19.07,1760000.0,124.14368855472242,0
309,AIYY,YieldMax AI Option Income Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,9.84,-1.70%,30713,-1.7,19.07,,,0
310,AIZ,Assurant Inc,Financial,Insurance - Property & Casualty,USA,10.85B,12.83,218.26,0.89%,288398,0.89,12.83,10850000000.0,2.6580460827043276e-05,0
311,AJAN,Innovator Equity Defined Protection ETF - 2 Yr to January 2028,Financial,Exchange Traded Fund,USA,-,-,27.69,0.07%,9618,0.07,19.07,,,0
312,AJG,Arthur J. Gallagher & Co,Financial,Insurance Brokers,USA,55.95B,37.86,217.61,0.59%,1730654,0.59,37.86,55950000000.0,3.09321537081156e-05,0
313,AJUL,Innovator Equity Defined Protection ETF - 2 Yr to July 2026,Financial,Exchange Traded Fund,USA,-,-,29.1,0.09%,6095,0.09,19.07,,,0
314,AKA,a.k.a. Brands Holding Corp,Consumer Cyclical,Apparel Retail,USA,113.44M,-,10.49,3.84%,2778,3.84,19.07,113440000.0,2.4488716286241922e-05,0
315,AKAF,The Frontier Economic Fund,Financial,Exchange Traded Fund,USA,-,-,31.15,0.27%,13,0.27,19.07,,,0
316,AKAM,Akamai Technologies Inc,Technology,Software - Infrastructure,USA,17.10B,38.37,118.0,1.94%,4114254,1.94,38.37,17100000000.000002,0.00024059964910873685,0
317,AKAN,Akanda Corp,Healthcare,Drug Manufacturers - Specialty & Generic,United Kingdom,1.38M,-,0.69,-0.99%,88962,-0.99,19.07,1380000.0,0.06446517067741256,0
318,AKBA,Akebia Therapeutics Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,369.67M,-,1.38,-2.13%,1876856,-2.13,19.07,369670000.0,0.005077112005093429,0
