No,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,MarketCap_Num,PE_Num,Change_Num,Volume_Num,Cap_Category,Is_Gainer,Is_Loser,Abs_Change,Log_Volume,Log_MarketCap,Price_Band,Change_ZScore
650,ASMF,Virtus AlphaSimplex Managed Futures ETF,Financial,Exchange Traded Fund,USA,-,-,25.38,0.30%,"13,918",,,0.3,13918,Unknown,True,False,0.3,9.5410100922274,,Low,-0.006656870856601882
651,ASMG,Leverage Shares 2X Long ASML Daily ETF,Financial,Exchange Traded Fund,USA,-,-,31.61,-6.18%,"167,166",,,-6.18,167166,Unknown,False,True,6.18,12.026748591731975,,Low,-1.6238701540150926
652,ASMH,ASML Holding NV ADRhedged,Financial,Exchange Traded Fund,USA,-,-,90.15,-2.44%,"2,873",,,-2.44,2873,Unknown,False,True,2.44,7.96346006663897,,Mid,-0.6904785368834947
653,ASML,ASML Holding NV,Technology,Semiconductor Equipment & Materials,Netherlands,507.69B,47.14,1317.23,-3.13%,"1,880,920",507690000000.0,47.14,-3.13,1880920,Mega Cap,False,True,3.13,14.447272108464452,26.953136862036484,Ultra High,-0.8626818031457413
654,ASMU,Direxion Daily ASML Bull 2X ETF,Financial,Exchange Traded Fund,USA,-,-,20.61,-6.70%,"135,672",,,-6.7,135672,Unknown,False,True,6.7,11.818002857713687,,Low,-1.7536465285895395
655,ASND,Ascendis Pharma A/S ADR,Healthcare,Biotechnology,Denmark,14.07B,-,229.25,0.44%,"752,485",14070000000.0,,0.44,752485,Large Cap,True,False,0.44,13.531137670780936,23.367310708143783,Very High,0.028282922298056876
656,ASNS,Actelis Networks Inc,Technology,Communication Equipment,USA,9.51M,-,0.36,-0.75%,"820,980",9510000.0,,-0.75,820980,Micro Cap,False,True,0.75,13.618255245657638,16.067854539674038,Penny,-0.26870531951654253
657,ASO,Academy Sports and Outdoors Inc,Consumer Cyclical,Specialty Retail,USA,3.69B,10.32,57.35,-0.59%,"1,438,095",3690000000.0,10.32,-0.59,1438095,Mid Cap,False,True,0.59,14.178830574422859,22.02889229526985,Mid,-0.22877412733978966
658,ASPC,A SPAC III Acquisition Corp,Financial,Shell Companies,Hong Kong,25.18M,446.89,10.77,-1.73%,969,25180000.0,446.89,-1.73,969,Micro Cap,False,True,1.73,6.877296071497429,17.041560626294533,Very Low,-0.5132838715991539
659,ASPI,ASP Isotopes Inc,Basic Materials,Chemicals,USA,536.72M,-,4.29,4.38%,"3,138,807",536720000.0,,4.38,3138807,Small Cap,True,False,4.38,14.95935366797695,20.100987103082076,Penny,1.011588529650596
660,ASPN,Aspen Aerogels Inc,Industrials,Building Products & Equipment,USA,305.63M,-,3.69,6.34%,"1,372,690",305630000.0,,6.34,1372690,Small Cap,True,False,6.34,14.132283604796607,19.53788578124972,Penny,1.5007456338158187
661,ASPS,Altisource Portfolio Solutions S.A,Real Estate,Real Estate Services,Luxembourg,76.90M,-,6.82,6.07%,"22,815",76900000.0,,6.07,22815,Micro Cap,True,False,6.07,10.035217323214022,18.158016447479774,Very Low,1.4333617470175484
662,ASR,Grupo Aeroportuario Del Sureste S.A. ADR,Industrials,Airports & Air Services,Mexico,9.62B,19.16,347.3,1.08%,"140,485",9620000000.0,19.16,1.08,140485,Mid Cap,True,False,1.08,11.852863118663018,22.987110101727975,Very High,0.18800769100506834
663,ASRT,Assertio Holdings Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,123.81M,-,19.21,-3.37%,"126,263",123810000.0,,-3.37,126263,Micro Cap,False,True,3.37,11.746130232078754,18.634258698473765,Very Low,-0.9225785914108706
664,ASRV,Ameriserv Financial Inc,Financial,Banks - Regional,USA,62.94M,10.93,3.71,2.77%,"9,770",62940000.0,10.93,2.77,9770,Micro Cap,True,False,2.77,9.187174093944343,17.957692465488684,Penny,0.6097809083720204
665,ASST,Strive Inc,Financial,Asset Management,USA,674.30M,-,9.75,-4.04%,"2,549,048",674300000.0,,-4.04,2549048,Small Cap,False,True,4.04,14.751230906398282,20.32918567518783,Very Low,-1.0897904586510232
666,ASTC,Astrotech Corp,Technology,Scientific & Technical Instruments,USA,7.00M,-,3.98,-10.56%,"555,884",7000000.0,,-10.56,555884,Micro Cap,False,True,10.56,13.228316717307134,15.76142084987672,Penny,-2.7169865398537025
667,ASTE,Astec Industries Inc,Industrials,Farm & Heavy Construction Machinery,USA,1.26B,32.78,55.06,-1.98%,"143,184",1260000000.0,32.78,-1.98,143184,Small Cap,False,True,1.98,11.871892779418813,20.95437755870345,Mid,-0.5756763593753302
